Date,Country,City,Specie,count,min,max,median,variance
17/11/2019,GB,London,o3,363,0.1,9.5,0.8,36.91
19/10/2019,GB,London,o3,398,0.1,27.9,11.6,686.79
15/11/2019,GB,London,o3,408,0.6,19.1,9,182.14
24/11/2019,GB,London,o3,376,0.1,22.4,1.1,293.15
23/12/2019,GB,London,o3,404,0.5,25.9,10.7,428.29
27/12/2019,GB,London,o3,384,0.2,19.6,8.1,364.59
30/09/2019,GB,London,o3,359,0.1,25.3,7.8,338.29
01/10/2019,GB,London,o3,362,0.5,28.4,12.2,552.53
13/10/2019,GB,London,o3,408,0.5,34.8,13.3,645.46
28/12/2019,GB,London,o3,364,0.1,23.6,2.6,346.11
05/01/2020,GB,London,o3,383,1.6,32,13.2,505.45
29/11/2019,GB,London,o3,389,0.1,22.3,6.8,352.42
29/12/2019,GB,London,o3,278,0.3,23.6,8,363.77
07/10/2019,GB,London,o3,401,0.1,26.9,7.1,418.12
17/10/2019,GB,London,o3,399,0.1,29,7.1,674.77
22/10/2019,GB,London,o3,380,0.1,24.4,2.3,301.17
14/12/2019,GB,London,o3,367,2.4,33.8,19.5,772.53
17/12/2019,GB,London,o3,378,0.1,26.2,5,407.78
21/12/2019,GB,London,o3,396,2.8,34.3,18.6,636.33
22/12/2019,GB,London,o3,404,1.1,33.3,14.2,524.65
03/01/2020,GB,London,o3,354,1.3,30.7,14.2,579.02
14/10/2019,GB,London,o3,398,0.1,22.6,4.8,262.88
30/10/2019,GB,London,o3,407,0.3,59.4,7.8,527.95
22/11/2019,GB,London,o3,406,0.2,31.8,7.1,496.44
05/11/2019,GB,London,pm25,634,9,127,49,1679.74
10/11/2019,GB,London,pm25,591,9,155,39,7435.93
03/12/2019,GB,London,pm25,587,13,154,58,2117.89
18/12/2019,GB,London,pm25,533,1,245,37,3045
17/10/2019,GB,London,pm25,643,3,71,30,1666.96
19/10/2019,GB,London,pm25,637,3,95,28,3328.95
29/10/2019,GB,London,pm25,616,5,95,25,1697.27
23/11/2019,GB,London,pm25,645,24,107,53,1369.14
